CapabilityID,BenefitStatement,KPIName,LinkedMetricID,SystemOfRecord,BaselineValue,BaselinePeriod,TargetValue,TargetDate,BenefitOwner,ReviewCadence,,,,,
8.3.8.1,Increase wellness program participation rate to 90% by 2026-03-31 from the FY2024-25 baseline,Wellness program participation rate,MET-0038,Survey,,FY2024-25,90,2026-03-31,"Director, HR Programs",Quarterly,,,,,
8.3.8.2,Reduce adr case resolution time to 60 days by 2026-03-31 from the FY2024-25 baseline,ADR case resolution time,MET-0039,HRIS,,FY2024-25,60,2026-03-31,"Director, HR Programs",Quarterly,,,,,
8.3.8.3,Increase official languages availability rate to 90% by 2026-03-31 from the FY2024-25 baseline,Official languages availability rate,MET-0017,Survey,,FY2024-25,90,2026-03-31,"Director, HR Programs",Quarterly,,,,,
8.3.8.4,Increase inclusion index to 80 by 2026-03-31 from the FY2024-25 baseline,Inclusion index,MET-0016,Survey,,FY2024-25,80,2026-03-31,"Director, HR Programs",Quarterly,,,,,
8.3.8.5,Increase psychological safety index to 75 by 2026-03-31 from the FY2024-25 baseline,Psychological safety index,MET-0040,Survey,,FY2024-25,75,2026-03-31,"Director, HR Programs",Quarterly,,,,,
8.3.1,Increase Alignment between HRM programs and strategic objectives to 95% by 2026-03-31 from the FY2024-25 baseline,Alignment between HRM programs and strategic objectives,MET-0792,HRIS,,FY2024-25,0.95,2026-03-31,HR Manager,Quarterly,,,,,
8.3.1,Increase HR process consistency and efficiency to 15% by 2026-03-31 from the FY2024-25 baseline,HR process consistency and efficiency,MET-0793,HRIS,,FY2024-25,0.15,2026-03-31,HR Manager,Quarterly,,,,,
8.3.1,Increase HRM program adaptability to 20% by 2026-03-31 from the FY2024-25 baseline,HRM program adaptability,MET-0794,HRIS,,FY2024-25,0.2,2026-03-31,HR Manager,Quarterly,,,,,
8.3.1.1,Increase Compliance rate with relevant laws to 95% by 2026-03-31 from the FY2024-25 baseline,Compliance rate with relevant laws,MET-0795,HRIS,,FY2024-25,0.95,2026-03-31,HR Manager,Annual,,,,,
8.3.1.1,Increase Employee trust scores to 80% by 2026-03-31 from the FY2024-25 baseline,Employee trust scores,MET-0796,HRIS,,FY2024-25,0.8,2026-03-31,HR Manager,Annual,,,,,
8.3.1.1,Increase Percentage improvement in HR policy consistency to 90% by 2026-03-31 from the FY2024-25 baseline,Percentage improvement in HR policy consistency,MET-0797,HRIS,,FY2024-25,0.9,2026-03-31,HR Manager,Annual,,,,,
8.3.1.1.2,Increase Decision-making quality to 90% by 2026-03-31 from the FY2024-25 baseline,Decision-making quality,MET-0798,HRIS,,FY2024-25,0.9,2026-03-31,HR Manager,Annual,,,,,
8.3.1.1.2,Reduce Operational risks to 8 by 2026-03-31 from the FY2024-25 baseline,Operational risks,MET-0799,HRIS,,FY2024-25,8,2026-03-31,HR Manager,Annual,,,,,
8.3.1.1.2,Increase Rate of policy compliance to 95% by 2026-03-31 from the FY2024-25 baseline,Rate of policy compliance,MET-0800,HRIS,,FY2024-25,0.95,2026-03-31,HR Manager,Annual,,,,,
8.3.1.1.3,Increase HR governance to 85% by 2026-03-31 from the FY2024-25 baseline,HR governance,MET-0801,HRIS,,FY2024-25,0.85,2026-03-31,HR Advisor,Annual,,,,,
8.3.1.1.3,Increase Rate of compliance to 95% by 2026-03-31 from the FY2024-25 baseline,Rate of compliance,MET-0802,HRIS,,FY2024-25,0.95,2026-03-31,HR Advisor,Annual,,,,,
8.3.1.1.3,Increase Stakeholder satisfaction to 90% by 2026-03-31 from the FY2024-25 baseline,Stakeholder satisfaction,MET-0803,Survey,,FY2024-25,0.9,2026-03-31,HR Advisor,Annual,,,,,
8.3.1.1.4,Reduce Delegation errors to 5 by 2026-03-31 from the FY2024-25 baseline,Delegation errors,MET-0804,HRIS,,FY2024-25,5,2026-03-31,HR Manager,Quarterly,,,,,
8.3.1.1.4,Increase Operational efficiency to 85% by 2026-03-31 from the FY2024-25 baseline,Operational efficiency,MET-0805,HRIS,,FY2024-25,0.85,2026-03-31,HR Manager,Quarterly,,,,,
8.3.1.1.4,Increase Accountability scores to 90% by 2026-03-31 from the FY2024-25 baseline,Accountability scores,MET-0806,HRIS,,FY2024-25,0.9,2026-03-31,HR Manager,Quarterly,,,,,
8.3.1.1.4.1,Reduce Compliance risks to 5 by 2026-03-31 from the FY2024-25 baseline,Compliance risks,MET-0807,HRIS,,FY2024-25,5,2026-03-31,Compliance Officer,Quarterly,,,,,
8.3.1.1.4.1,Increase Decision-making quality to 90% by 2026-03-31 from the FY2024-25 baseline,Decision-making quality,MET-0798,HRIS,,FY2024-25,0.9,2026-03-31,Compliance Officer,Quarterly,,,,,
8.3.1.1.4.1,Increase Rate of compliance with controls to 95% by 2026-03-31 from the FY2024-25 baseline,Rate of compliance with controls,MET-0808,HRIS,,FY2024-25,0.95,2026-03-31,Compliance Officer,Quarterly,,,,,
8.3.1.1.4.2,Increase Accountability scores to 90% by 2026-03-31 from the FY2024-25 baseline,Accountability scores,MET-0806,HRIS,,FY2024-25,0.9,2026-03-31,HR Manager,Quarterly,,,,,
8.3.1.1.4.2,Increase Decision-making quality to 90% by 2026-03-31 from the FY2024-25 baseline,Decision-making quality,MET-0798,HRIS,,FY2024-25,0.9,2026-03-31,HR Manager,Quarterly,,,,,
8.3.1.1.4.2,Increase Operational efficiency to 85% by 2026-03-31 from the FY2024-25 baseline,Operational efficiency,MET-0805,HRIS,,FY2024-25,0.85,2026-03-31,HR Manager,Quarterly,,,,,
8.3.1.1.4.3,Increase Accountability scores to 90% by 2026-03-31 from the FY2024-25 baseline,Accountability scores,MET-0806,HRIS,,FY2024-25,0.9,2026-03-31,HR Manager,Quarterly,,,,,
8.3.1.1.4.3,Increase Decision-making effectiveness to 90% by 2026-03-31 from the FY2024-25 baseline,Decision-making effectiveness,MET-0809,HRIS,,FY2024-25,0.9,2026-03-31,HR Manager,Quarterly,,,,,
8.3.1.1.4.3,Increase Operational efficiency to 85% by 2026-03-31 from the FY2024-25 baseline,Operational efficiency,MET-0805,HRIS,,FY2024-25,0.85,2026-03-31,HR Manager,Quarterly,,,,,
8.3.1.2,Increase Alignment with organizational goals to 90% by 2026-03-31 from the FY2024-25 baseline,Alignment with organizational goals,MET-0810,HRIS,,FY2024-25,0.9,2026-03-31,Program Manager,Quarterly,,,,,
8.3.1.2,Increase Program efficiency to 85% by 2026-03-31 from the FY2024-25 baseline,Program efficiency,MET-0811,HRIS,,FY2024-25,0.85,2026-03-31,Program Manager,Quarterly,,,,,
8.3.1.2.1,Increase Program implementation to 85% by 2026-03-31 from the FY2024-25 baseline,Program implementation,MET-0812,HRIS,,FY2024-25,0.85,2026-03-31,Program Manager,Quarterly,,,,,
8.3.1.2.1,Increase Stakeholder engagement scores to 90% by 2026-03-31 from the FY2024-25 baseline,Stakeholder engagement scores,MET-0813,Survey,,FY2024-25,0.9,2026-03-31,Program Manager,Quarterly,,,,,
8.3.1.2.1,Increase Program effectiveness to 85% by 2026-03-31 from the FY2024-25 baseline,Program effectiveness,MET-0814,HRIS,,FY2024-25,0.85,2026-03-31,Program Manager,Quarterly,,,,,
8.3.1.2.1,Increase Program adaptability to 85% by 2026-03-31 from the FY2024-25 baseline,Program adaptability,MET-0815,HRIS,,FY2024-25,0.85,2026-03-31,Program Manager,Quarterly,,,,,
8.3.1.2.1,Increase Objective clarity to 85% by 2026-03-31 from the FY2024-25 baseline,Objective clarity,MET-0816,HRIS,,FY2024-25,0.85,2026-03-31,Program Manager,Quarterly,,,,,
8.3.1.2.1,Increase Employee participation rates to 85% by 2026-03-31 from the FY2024-25 baseline,Employee participation rates,MET-0817,HRIS,,FY2024-25,0.85,2026-03-31,Program Manager,Quarterly,,,,,
8.3.1.2.1.1,Increase Accountability scores to 90% by 2026-03-31 from the FY2024-25 baseline,Accountability scores,MET-0806,HRIS,,FY2024-25,0.9,2026-03-31,Governance Manager,Quarterly,,,,,
8.3.1.2.1.1,Increase Compliance rates to 90% by 2026-03-31 from the FY2024-25 baseline,Compliance rates,MET-0818,HRIS,,FY2024-25,0.9,2026-03-31,Governance Manager,Quarterly,,,,,
8.3.1.2.1.1,Increase Governance effectiveness to 85% by 2026-03-31 from the FY2024-25 baseline,Governance effectiveness,MET-0819,HRIS,,FY2024-25,0.85,2026-03-31,Governance Manager,Quarterly,,,,,
8.3.1.2.2,Increase Implementation efficiency to 85% by 2026-03-31 from the FY2024-25 baseline,Implementation efficiency,MET-0820,HRIS,,FY2024-25,0.85,2026-03-31,Program Manager,Quarterly,,,,,
8.3.1.2.2,Increase Program adaptability to 85% by 2026-03-31 from the FY2024-25 baseline,Program adaptability,MET-0815,HRIS,,FY2024-25,0.85,2026-03-31,Program Manager,Quarterly,,,,,
8.3.1.2.2,Increase Stakeholder engagement rates to 85% by 2026-03-31 from the FY2024-25 baseline,Stakeholder engagement rates,MET-0821,Survey,,FY2024-25,0.85,2026-03-31,Program Manager,Quarterly,,,,,
8.3.1.2.3,Increase Delivery consistency to 85% by 2026-03-31 from the FY2024-25 baseline,Delivery consistency,MET-0822,HRIS,,FY2024-25,0.85,2026-03-31,Delivery Manager,Quarterly,,,,,
8.3.1.2.3,Increase Program quality scores to 90% by 2026-03-31 from the FY2024-25 baseline,Program quality scores,MET-0823,HRIS,,FY2024-25,0.9,2026-03-31,Delivery Manager,Quarterly,,,,,
8.3.1.2.3,Increase Stakeholder satisfaction rates to 85% by 2026-03-31 from the FY2024-25 baseline,Stakeholder satisfaction rates,MET-0824,Survey,,FY2024-25,0.85,2026-03-31,Delivery Manager,Quarterly,,,,,
8.3.1.2.3.1,Increase Decision-making quality to 90% by 2026-03-31 from the FY2024-25 baseline,Decision-making quality,MET-0798,HRIS,,FY2024-25,0.9,2026-03-31,Advisory Manager,Quarterly,,,,,
8.3.1.2.3.1,Increase Guidance effectiveness to 85% by 2026-03-31 from the FY2024-25 baseline,Guidance effectiveness,MET-0825,HRIS,,FY2024-25,0.85,2026-03-31,Advisory Manager,Quarterly,,,,,
8.3.1.2.3.1,Increase Compliance rates to 90% by 2026-03-31 from the FY2024-25 baseline,Compliance rates,MET-0818,HRIS,,FY2024-25,0.9,2026-03-31,Advisory Manager,Quarterly,,,,,
8.3.1.2.4.2,Increase Continuous improvement metrics to 85% by 2026-03-31 from the FY2024-25 baseline,Continuous improvement metrics,MET-0826,HRIS,,FY2024-25,0.85,2026-03-31,Program Manager,Quarterly,,,,,
8.3.1.2.4.2,Increase Employee engagement metrics to 85% by 2026-03-31 from the FY2024-25 baseline,Employee engagement metrics,MET-0827,Survey,,FY2024-25,0.85,2026-03-31,Program Manager,Quarterly,,,,,
8.3.1.2.4.2,Increase Program effectiveness metrics to 90% by 2026-03-31 from the FY2024-25 baseline,Program effectiveness metrics,MET-0828,HRIS,,FY2024-25,0.9,2026-03-31,Program Manager,Quarterly,,,,,
8.3.1.2.5,Increase Compliance rate to 90% by 2026-03-31 from the FY2024-25 baseline,Compliance rate,MET-0829,HRIS,,FY2024-25,0.9,2026-03-31,Compliance Officer,Quarterly,,,,,
8.3.1.2.5,Reduce Legal issues to 5 by 2026-03-31 from the FY2024-25 baseline,Legal issues,MET-0830,HRIS,,FY2024-25,5,2026-03-31,Compliance Officer,Quarterly,,,,,
8.3.1.2.5,Increase Stakeholder trust to 85% by 2026-03-31 from the FY2024-25 baseline,Stakeholder trust,MET-0831,HRIS,,FY2024-25,0.85,2026-03-31,Compliance Officer,Quarterly,,,,,
8.3.1.2.5.1,Increase Accountability metrics to 85% by 2026-03-31 from the FY2024-25 baseline,Accountability metrics,MET-0832,HRIS,,FY2024-25,0.85,2026-03-31,Reporting Manager,Quarterly,,,,,
8.3.1.2.5.1,Increase Decision-making metrics to 90% by 2026-03-31 from the FY2024-25 baseline,Decision-making metrics,MET-0833,HRIS,,FY2024-25,0.9,2026-03-31,Reporting Manager,Quarterly,,,,,
8.3.1.2.5.1,Increase Transparency metrics to 85% by 2026-03-31 from the FY2024-25 baseline,Transparency metrics,MET-0834,HRIS,,FY2024-25,0.85,2026-03-31,Reporting Manager,Quarterly,,,,,
8.3.1.2.6,Increase Risk identification metrics to 85% by 2026-03-31 from the FY2024-25 baseline,Risk identification metrics,MET-0835,HRIS,,FY2024-25,85%,2026-03-31,Risk Manager,Quarterly,,,,,
8.3.1.2.6,Increase Compliance rates to 90% by 2026-03-31 from the FY2024-25 baseline,Compliance rates,MET-0818,HRIS,,FY2024-25,0.9,2026-03-31,Risk Manager,Quarterly,,,,,
8.3.1.2.6,Reduce HR-related risks to 10 by 2026-03-31 from the FY2024-25 baseline,HR-related risks,MET-0836,HRIS,,FY2024-25,10,2026-03-31,Risk Manager,Quarterly,,,,,
8.3.1.2.6,Increase Resilience metrics to 80% by 2026-03-31 from the FY2024-25 baseline,Resilience metrics,MET-0837,HRIS,,FY2024-25,80%,2026-03-31,Risk Manager,Quarterly,,,,,
8.3.1.2.6,Increase Risk mitigation metrics to 90% by 2026-03-31 from the FY2024-25 baseline,Risk mitigation metrics,MET-0838,HRIS,,FY2024-25,0.9,2026-03-31,Risk Manager,Quarterly,,,,,
8.3.1.2.6,Increase Compliance rates to 90% by 2026-03-31 from the FY2024-25 baseline,Compliance rates,MET-0818,HRIS,,FY2024-25,0.9,2026-03-31,Risk Manager,Quarterly,,,,,
8.3.1.2.6,Reduce HR-related risks to 10 by 2026-03-31 from the FY2024-25 baseline,HR-related risks,MET-0836,HRIS,,FY2024-25,10,2026-03-31,Risk Manager,Quarterly,,,,,
8.3.1.2.6,Increase Resilience metrics to 80% by 2026-03-31 from the FY2024-25 baseline,Resilience metrics,MET-0837,HRIS,,FY2024-25,0.8,2026-03-31,Risk Manager,Quarterly,,,,,
8.3.1.2.6,Increase Risk identification metrics to 85% by 2026-03-31 from the FY2024-25 baseline,Risk identification metrics,MET-0835,HRIS,,FY2024-25,0.85,2026-03-31,Risk Manager,Quarterly,,,,,
8.3.1.2.6,Increase Risk mitigation metrics to 90% by 2026-03-31 from the FY2024-25 baseline,Risk mitigation metrics,MET-0838,HRIS,,FY2024-25,0.9,2026-03-31,Risk Manager,Quarterly,,,,,
8.3.1.3,Increase Alignment with strategic goals to 95% by 2026-03-31 from the FY2024-25 baseline,Alignment with strategic goals,MET-0839,HRIS,,FY2024-25,0.95,2026-03-31,Chief Strategy Officer,Annual,,,,,
8.3.1.3,Reduce Decision-making time to 15 by 2026-03-31 from the FY2024-25 baseline,Decision-making time,MET-0840,HRIS,,FY2024-25,15,2026-03-31,Chief Strategy Officer,Annual,,,,,
8.3.1.3,Increase Resource utilization to 85% by 2026-03-31 from the FY2024-25 baseline,Resource utilization,MET-0841,HRIS,,FY2024-25,0.85,2026-03-31,Chief Strategy Officer,Annual,,,,,
8.3.1.3.1,Increase Employee satisfaction to 90% by 2026-03-31 from the FY2024-25 baseline,Employee satisfaction,MET-0842,Survey,,FY2024-25,0.9,2026-03-31,Workplace Manager,Quarterly,,,,,
8.3.1.3.1,Increase Workplace efficiency to 85% by 2026-03-31 from the FY2024-25 baseline,Workplace efficiency,MET-0843,HRIS,,FY2024-25,0.85,2026-03-31,Workplace Manager,Quarterly,,,,,
8.3.1.3.1,Reduce Workplace incidents to 10 by 2026-03-31 from the FY2024-25 baseline,Workplace incidents,MET-0844,HRIS,,FY2024-25,10,2026-03-31,Workplace Manager,Quarterly,,,,,
8.3.1.3.2,Increase Talent acquisition to 90% by 2026-03-31 from the FY2024-25 baseline,Talent acquisition,MET-0845,HRIS,,FY2024-25,0.9,2026-03-31,Workforce Manager,Quarterly,,,,,
8.3.1.3.2,Increase Workforce planning accuracy to 90% by 2026-03-31 from the FY2024-25 baseline,Workforce planning accuracy,MET-0846,HRIS,,FY2024-25,0.9,2026-03-31,Workforce Manager,Quarterly,,,,,
8.3.1.3.2,Increase Workforce utilization to 85% by 2026-03-31 from the FY2024-25 baseline,Workforce utilization,MET-0847,HRIS,,FY2024-25,85%,2026-03-31,Workforce Manager,Quarterly,,,,,
8.3.1.3.3,Increase Decision-making accuracy to 85% by 2026-03-31 from the FY2024-25 baseline,Decision-making accuracy,MET-0848,HRIS,,FY2024-25,0.85,2026-03-31,Workforce Analytics Manager,Annual,,,,,
8.3.1.3.3,Increase Predictive analytics accuracy to 90% by 2026-03-31 from the FY2024-25 baseline,Predictive analytics accuracy,MET-0849,HRIS,,FY2024-25,0.9,2026-03-31,Workforce Analytics Manager,Annual,,,,,
8.3.1.3.3,Increase Workforce optimization to 85% by 2026-03-31 from the FY2024-25 baseline,Workforce optimization,MET-0850,HRIS,,FY2024-25,0.85,2026-03-31,Workforce Analytics Manager,Annual,,,,,
8.3.1.3.4,Reduce Employee turnover to 10% by 2026-03-31 from the FY2024-25 baseline,Employee turnover,MET-0851,HRIS,,FY2024-25,0.1,2026-03-31,Workforce Planning Manager,Quarterly,,,,,
8.3.1.3.4,Reduce Resource allocation issues to 10% by 2026-03-31 from the FY2024-25 baseline,Resource allocation issues,MET-0852,HRIS,,FY2024-25,10%,2026-03-31,Workforce Planning Manager,Quarterly,,,,,
8.3.1.3.4,Increase Workforce utilization to 80% by 2026-03-31 from the FY2024-25 baseline,Workforce utilization,MET-0847,HRIS,,FY2024-25,0.8,2026-03-31,Workforce Planning Manager,Quarterly,,,,,
8.3.1.3.4.1,Increase Productivity rates to 85% by 2026-03-31 from the FY2024-25 baseline,Productivity rates,MET-0853,HRIS,,FY2024-25,0.85,2026-03-31,Staffing Manager,Quarterly,,,,,
8.3.1.3.4.1,Increase Resource allocation efficiency to 80% by 2026-03-31 from the FY2024-25 baseline,Resource allocation efficiency,MET-0854,HRIS,,FY2024-25,0.8,2026-03-31,Staffing Manager,Quarterly,,,,,
8.3.1.3.4.1,Reduce Staffing level issues to 10% by 2026-03-31 from the FY2024-25 baseline,Staffing level issues,MET-0855,ATS,,FY2024-25,0.1,2026-03-31,Staffing Manager,Quarterly,,,,,
8.3.1.3.4.2,Increase Job design efficiency to 85% by 2026-03-31 from the FY2024-25 baseline,Job design efficiency,MET-0856,HRIS,,FY2024-25,0.85,2026-03-31,Job Design Manager,Quarterly,,,,,
8.3.1.3.4.2,Increase Role clarity to 85% by 2026-03-31 from the FY2024-25 baseline,Role clarity,MET-0857,HRIS,,FY2024-25,0.85,2026-03-31,Job Design Manager,Quarterly,,,,,
8.3.1.3.4.2,Increase Workforce structure to 80% by 2026-03-31 from the FY2024-25 baseline,Workforce structure,MET-0858,HRIS,,FY2024-25,0.8,2026-03-31,Job Design Manager,Quarterly,,,,,
8.3.1.3.4.3,Increase Operational efficiency to 90% by 2026-03-31 from the FY2024-25 baseline,Operational efficiency,MET-0805,HRIS,,FY2024-25,0.9,2026-03-31,Recruitment Manager,Quarterly,,,,,
8.3.1.3.4.3,Reduce Position vacancy duration to 30 by 2026-03-31 from the FY2024-25 baseline,Position vacancy duration,MET-0859,HRIS,,FY2024-25,30,2026-03-31,Recruitment Manager,Quarterly,,,,,
8.3.1.3.4.3,Increase Talent utilization rates to 85% by 2026-03-31 from the FY2024-25 baseline,Talent utilization rates,MET-0860,HRIS,,FY2024-25,0.85,2026-03-31,Recruitment Manager,Quarterly,,,,,
8.3.1.3.4.4,Increase Leadership continuity to 85% by 2026-03-31 from the FY2024-25 baseline,Leadership continuity,MET-0861,HRIS,,FY2024-25,0.85,2026-03-31,HR Manager,Annual,,,,,
8.3.1.3.4.4,Reduce Leadership gap duration to 15 by 2026-03-31 from the FY2024-25 baseline,Leadership gap duration,MET-0862,HRIS,,FY2024-25,15,2026-03-31,HR Manager,Annual,,,,,
8.3.1.3.4.4,Increase Talent development rates to 80% by 2026-03-31 from the FY2024-25 baseline,Talent development rates,MET-0863,HRIS,,FY2024-25,0.8,2026-03-31,HR Manager,Annual,,,,,
8.3.1.3.5,Increase Decision-making quality to 80% by 2026-03-31 from the FY2024-25 baseline,Decision-making quality,MET-0798,HRIS,,FY2024-25,0.8,2026-03-31,Strategy Manager,Annual,,,,,
8.3.1.3.5,Reduce Identified risks to 40% by 2026-03-31 from the FY2024-25 baseline,Identified risks,MET-0864,HRIS,,FY2024-25,0.4,2026-03-31,Strategy Manager,Annual,,,,,
8.3.1.3.5,Increase Strategic planning efficiency to 85% by 2026-03-31 from the FY2024-25 baseline,Strategic planning efficiency,MET-0865,HRIS,,FY2024-25,0.85,2026-03-31,Strategy Manager,Annual,,,,,
8.3.1.3.5.1,Increase Employee utilization rates to 85% by 2026-03-31 from the FY2024-25 baseline,Employee utilization rates,MET-0866,HRIS,,FY2024-25,85%,2026-03-31,HR Planning Manager,Quarterly,,,,,
8.3.1.3.5.1,Reduce Identified skills gaps to 15% by 2026-03-31 from the FY2024-25 baseline,Identified skills gaps,MET-0867,HRIS,,FY2024-25,15%,2026-03-31,HR Planning Manager,Quarterly,,,,,
8.3.1.3.5.1,Increase Workforce planning accuracy to 80% by 2026-03-31 from the FY2024-25 baseline,Workforce planning accuracy,MET-0846,HRIS,,FY2024-25,80%,2026-03-31,HR Planning Manager,Quarterly,,,,,
8.3.1.3.5.2,Increase Quality of hires to 85% by 2026-03-31 from the FY2024-25 baseline,Quality of hires,MET-0868,ATS,,FY2024-25,85%,2026-03-31,HR Recruitment Manager,Annual,,,,,
8.3.1.3.5.2,Increase Talent attraction and retention rates to 85% by 2026-03-31 from the FY2024-25 baseline,Talent attraction and retention rates,MET-0869,HRIS,,FY2024-25,85%,2026-03-31,HR Recruitment Manager,Annual,,,,,
8.3.1.3.5.2,Increase Workforce planning strategies to 80% by 2026-03-31 from the FY2024-25 baseline,Workforce planning strategies,MET-0870,HRIS,,FY2024-25,80%,2026-03-31,HR Recruitment Manager,Annual,,,,,
