MetricID,MetricName,Definition,Unit,Direction,Category,OwnerOrg,CalcMethod,CalcFormula,Frequency,FreqValidatinon,BaselineRequired,LifecyclePhase,Notes,,,,,,,,,,,,
MET-0014,Grievance count,Number of formal grievances registered in the reporting period.,Count,LowerIsBetter,Benefit KPI,HR (Dept/OCHRO),Standardized method per metric definition,Count of New Grievances Registered [8.3.5.2.4] within Period,Monthly,Valid: Standard operational volume metric.,Yes,Conflict Support,,,,,,,,,,,,,
MET-0015,Grievance resolution time,Median calendar days to resolve/close grievances.,Days,LowerIsBetter,Benefit KPI,HR (Dept/OCHRO),Standardized method per metric definition,Median(Date(Grievance Decision Implemented [8.3.5.2.6.2]) - Date(Grievance Filed [8.3.5.2.4])),Monthly,Valid: Closure dates trigger the calculation.,Yes,Conflict Support,,,,,,,,,,,,,
MET-0016,Inclusion index,"Composite inclusion score (belonging, respect, equity).",Index,HigherIsBetter,Benefit KPI,HR (Dept/OCHRO),"Composite survey score (e.g., 0–100)",Composite Score of Inclusion/Belonging Questions from PSES [8.3.8.4],Annual,Valid: Tied to annual survey cycle.,Yes,Accommodation and Wellbeing,,,,,,,,,,,,,
MET-0017,Official languages availability rate,Percent of sampled services available in employee’s official language of choice.,Percent,HigherIsBetter,Benefit KPI,HR (Dept/OCHRO),Services delivered in chosen language / total services sampled,(Count of Services Provided in Employee's Choice of Language [8.3.8.3.2]) / (Total Services Sampled) * 100,Quarterly,Valid: Often measured via sampling/spot-checks rather than 100% census.,Yes,Accommodation and Wellbeing,,,,,,,,,,,,,
MET-0018,12-month retention rate,Percent of new hires still employed 12 months after start.,Percent,HigherIsBetter,Benefit KPI,HR (Dept/OCHRO),Standardized method per metric definition,(Count of Employees Hired 12 Mos Ago [8.3.7.1.2] with Status='Active') / (Total Employees Hired 12 Mos Ago) * 100,Monthly,"Valid: Rolling monthly window (e.g., retention of cohort hired in Jan 2024).",Yes,Career Growth,,,,,,,,,,,,,
MET-0020,Internal mobility rate,Percent of employees who changed roles internally in the period.,Percent,HigherIsBetter,Benefit KPI,HR (Dept/OCHRO),Standardized method per metric definition,(Count of Employees Changing Positions Internally [8.3.7.3.2.2]) / (Total Average Headcount) * 100,Monthly,Valid: Transactional movement data.,Yes,Career Growth,,,,,,,,,,,,,
MET-0021,Absence rate,Percent of scheduled work time lost to absence in the period.,Percent,LowerIsBetter,Benefit KPI,HR (Dept/OCHRO),Standardized method per metric definition,(Total Hours Sick + Family Leave [8.3.7.2.3.1]) / (Total Scheduled Work Hours [8.3.7.2.1.1]) * 100,Monthly,Valid: Payroll/Time data is consolidated monthly.,Yes,"Pay, Time and Personal Info",,,,,,,,,,,,,
MET-0024,Policy cycle time,Median days from policy change initiation to approval/publication.,Days,LowerIsBetter,Benefit KPI,HR (Dept/OCHRO),Standardized method per metric definition,Median(Date(Policy Published [8.3.1.1.2]) - Date(Policy Design Initiated [8.3.1.1.1])),Quarterly,Valid: Policy cycles are long; monthly measurement would show no change too often.,Yes,Learning and Development,,,,,,,,,,,,,
MET-0025,Compliance rate,Percent of sampled HR transactions compliant with policy/controls.,Percent,HigherIsBetter,Benefit KPI,HR (Dept/OCHRO),Compliant transactions / total sampled,(Count of Sampled Transactions Meeting Controls [8.3.1.1.4.1]) / (Total Sampled Transactions) * 100,Monthly,Valid: Based on continuous audit/monitoring.,Yes,Employment Terms,,,,,,,,,,,,,
MET-0026,First contact resolution rate,Percent of HR inquiries resolved at first contact.,Days,LowerIsBetter,Benefit KPI,HR (Dept/OCHRO),Standardized method per metric definition,(Count of Cases Closed on Same Day as Created [8.3.1.4.3]) / (Total Cases Created) * 100,Monthly,Valid: Standard helpdesk metric.,Yes,Accommodation and Wellbeing,,,,,,,,,,,,,
MET-0027,Guidance adoption rate,Percent of targeted users who accessed/applied new HR guidance.,Percent,HigherIsBetter,Benefit KPI,HR (Dept/OCHRO),Standardized method per metric definition,(Count of Unique Users Accessing New Guidance [8.3.2.1.2]) / (Target Audience Size) * 100,Quarterly,Valid: Traffic/adoption analysis usually requires a longer window.,Yes,Learning and Development,,,,,,,,,,,,,
MET-0028,Data quality pass rate,Percent of data validation rules passing for HR datasets.,Percent,HigherIsBetter,Data Governance KPI,HR (Dept/OCHRO),Passed validation rules / total checks,(Count of Records Passing Validation Rules in DQ Sheet) / (Total Records Scanned) * 100,Monthly,Valid: Automated scripts run on monthly extracts.,Yes,Learning and Development,,,,,,,,,,,,,
MET-0030,Release success rate,Percent of HR system releases without high-severity incidents post-go-live.,Percent,HigherIsBetter,Service/IT KPI,HR (Dept/OCHRO),Releases without Sev1/Sev2 post-go-live / total releases,(Count of Releases with 0 Sev1/Sev2 Incidents [8.3.2.3]) / (Total Releases Deployed) * 100,Monthly,Valid: Driven by IT release calendar.,Yes,Learning and Development,,,,,,,,,,,,,
MET-0031,Payroll accuracy rate,Percent of pay transactions processed correctly the first time.,Percent,HigherIsBetter,Benefit KPI,HR (Dept/OCHRO),Standardized method per metric definition,100 - ((Count of Off-Cycle Payments + Overpayments [8.3.6.2.1.3]) / (Total Paycheques [8.3.6.3.1]) * 100),Monthly,Valid: Aligned with pay cycles.,Yes,"Pay, Time and Personal Info",,,,,,,,,,,,,
MET-0032,Pay on time rate,Percent of employees paid on scheduled payday.,Days,LowerIsBetter,Benefit KPI,HR (Dept/OCHRO),Standardized method per metric definition,(Count of Employees Paid on Scheduled Date [8.3.6.3.2]) / (Total Employees Paid) * 100,Monthly,Valid: Aligned with pay cycles.,Yes,"Pay, Time and Personal Info",,,,,,,,,,,,,
MET-0033,Pay case resolution time,Median days to resolve pay-related cases.,Days,LowerIsBetter,Benefit KPI,HR (Dept/OCHRO),Standardized method per metric definition,Median(Date(Pay Case Closed [8.3.1.4.3]) - Date(Pay Case Opened)),Monthly,Valid: Case management data.,Yes,"Pay, Time and Personal Info",,,,,,,,,,,,,
MET-0034,Benefits enrollment accuracy rate,Percent of benefits enrollments processed correctly.,Percent,HigherIsBetter,Benefit KPI,HR (Dept/OCHRO),Standardized method per metric definition,(Count of Enrollments Processed without Error [8.3.6.5.2.2]) / (Total Enrollments) * 100,Monthly,Valid: Transactional accuracy.,Yes,Life Events,,,,,,,,,,,,,
MET-0035,Pension service timeliness,"Median days to process pension events (e.g., enrollment, retirement).",Days,LowerIsBetter,Benefit KPI,HR (Dept/OCHRO),Standardized method per metric definition,Median(Date(Pension Package Processed [8.3.6.4.3.1]) - Date(Eligibility Confirmed [8.3.6.4.2])),Quarterly,Valid: Pension events are lower volume/slower velocity.,Yes,Life Events,,,,,,,,,,,,,
MET-0036,Collective agreement compliance rate,Standard definition for Collective agreement compliance rate.,Percent,HigherIsBetter,Benefit KPI,HR (Dept/OCHRO),Standardized method per metric definition,(Count of Pay/Leave Transactions aligned to CA Rules [8.3.5.1.5.1]) / (Total Transactions) * 100,Monthly,Valid: Continuous monitoring.,Yes,Employment Terms,,,,,,,,,,,,,
MET-0038,Wellness program participation rate,Percent of employees participating in wellness programs.,Percent,HigherIsBetter,Benefit KPI,HR (Dept/OCHRO),Standardized method per metric definition,(Count of Unique Participants in Wellness Initiatives [8.3.8.1.3]) / (Total Workforce) * 100,Monthly,Valid: Can be tracked per event or monthly summary.,Yes,Accommodation and Wellbeing,,,,,,,,,,,,,
MET-0039,ADR case resolution time,Median days to resolve alternative dispute resolution cases.,Days,LowerIsBetter,Benefit KPI,HR (Dept/OCHRO),Standardized method per metric definition,Median(Date(Mediation/Resolution Concluded [8.3.8.2.1]) - Date(Issue Raised [8.3.8.2])),Monthly,Valid: Case duration tracking.,Yes,Conflict Support,,,,,,,,,,,,,
MET-0040,Psychological safety index,Composite score of psychological safety from survey.,Index,HigherIsBetter,Benefit KPI,HR (Dept/OCHRO),"Composite survey score (e.g., 0–100)",Composite Score of Psychological Safety Questions from PSES [8.3.8.1.1.2],Annual,Valid: Survey-based.,Yes,Accommodation and Wellbeing,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MET-0001,Time to hire,Median calendar days from job requisition approval to candidate acceptance within the period.,Days,LowerIsBetter,Benefit KPI,HR (Dept/OCHRO),Median days from requisition approval to candidate acceptance,Median(Date(Employment Offer Accepted [8.3.4.4.2]) - Date(Resourcing Activity Initiation [8.3.4.1.1])),Monthly,Valid: Transactional data supports monthly aggregation.,Yes,Job Search and Recruiting,,,,,,,,,,,,,
MET-0002,Time to staff,Median calendar days from staffing request to start date confirmation within the period.,Days,LowerIsBetter,Benefit KPI,HR (Dept/OCHRO),Median days from staffing request to start date confirmation,Median(Date(Hire Implemented [8.3.4.4.3]) - Date(Staffing Request/Initiation [8.3.4.1.1])),Monthly,"Valid: Capture date occurs at 'Hire', allowing monthly reporting.",Yes,Job Search and Recruiting,,,,,,,,,,,,,
MET-0003,Offer acceptance rate,Percent of job offers accepted within their validity period in the reporting window.,Percent,HigherIsBetter,Benefit KPI,HR (Dept/OCHRO),Accepted offers / total offers in period,(Count of Offers with Status='Accepted' [8.3.4.4.2]) / (Total Offers Extended [8.3.4.4.2]) * 100,Monthly,Valid: Offer volume is sufficient for monthly tracking.,Yes,Job Search and Recruiting,,,,,,,,,,,,,
MET-0004,Candidate experience index,Composite score from candidate survey on clarity/fairness/timeliness (scale 1-10).,Index,HigherIsBetter,Benefit KPI,HR (Dept/OCHRO),Average survey score,Average(Survey Score for Clarity + Fairness + Timeliness) from Post-Application Survey [8.3.4.2.1.2],Quarterly,Valid: Surveys are often batched; quarterly provides better statistical significance.,Yes,Job Search and Recruiting,,,,,,,,,,,,,
MET-0005,Qualified applicant rate,Percentage of applicants meeting essential criteria after initial screening.,Percent,HigherIsBetter,Benefit KPI,HR (Dept/OCHRO),Qualified applicants / total applicants,(Count of Candidates Meeting Merit Criteria [8.3.4.3.2]) / (Total Applications Received [8.3.4.2.1.3]) * 100,Monthly,Valid: Linked to screening activities.,Yes,Job Search and Recruiting,,,,,,,,,,,,,
MET-0009,Training completion rate,Percentage of assigned training completed within deadline.,Percent,HigherIsBetter,Benefit KPI,HR (Dept/OCHRO),Standardized method per metric definition,(Count of Enrollments with Status='Completed' [8.3.7.4.2.6]) / (Total Enrollments Assigned [8.3.7.4.2.1]) * 100,Monthly,Valid: Continuous monitoring.,Yes,Training and Development,,,,,,,,,,,,,
MET-0010,Certification attainment rate,Percentage of employees achieving required certifications.,Percent,HigherIsBetter,Benefit KPI,HR (Dept/OCHRO),Standardized method per metric definition,(Count of Employees with Valid Certification [8.3.7.4.3.2]) / (Total Employees Requiring Certification) * 100,Quarterly,Valid: Align with certification cycles.,Yes,Training and Development,,,,,,,,,,,,,
MET-0011,Skills coverage index,Index measuring coverage of critical skills across the workforce.,Index,HigherIsBetter,Benefit KPI,HR (Dept/OCHRO),Standardized method per metric definition,(Count of Critical Roles with >1 Qualified Successor [8.3.3.1.2.2]) / (Total Critical Roles [8.3.3.1.1.1]) * 100,Quarterly,Valid: Skills updates are periodic.,Yes,Workforce Planning,,,,,,,,,,,,,
MET-0013,Employee engagement index,Composite score from employee engagement survey.,Index,HigherIsBetter,Benefit KPI,HR (Dept/OCHRO),Standardized method per metric definition,Composite Score from PSES Engagement Questions [8.3.2.4.1],Annual,Valid: Annual survey cycle.,Yes,Employee Engagement,,,,,,,,,,,,,
MET-0018,12-month retention rate,Percentage of new hires retained for at least 12 months.,Percent,HigherIsBetter,Benefit KPI,HR (Dept/OCHRO),Standardized method per metric definition,(Count of New Hires Retained > 12 Months) / (Total New Hires 12 Months Ago) * 100,Quarterly,Valid: Lagging indicator.,Yes,Retention,,,,,,,,,,,,,
MET-0020,Workforce plan variance,Variance between planned and actual workforce numbers.,Percent,LowerIsBetter,Benefit KPI,HR (Dept/OCHRO),Standardized method per metric definition,(Actual Headcount [8.3.3.2.1] - Planned Headcount [8.3.3.1.2.1]) / (Planned Headcount) * 100,Quarterly,Valid: Planning cycle alignment.,Yes,Workforce Planning,,,,,,,,,,,,,
MET-0024,Policy cycle time,Time taken to review and update HR policies.,Days,LowerIsBetter,Benefit KPI,HR (Dept/OCHRO),Standardized method per metric definition,Median(Date(Policy Published [8.3.1.1.2.2]) - Date(Policy Review Initiated [8.3.1.1.1.1])),Quarterly,Valid: Policy cycles are long.,Yes,Policy Management,,,,,,,,,,,,,
MET-0025,Compliance rate,Percentage of HR transactions compliant with policies.,Percent,HigherIsBetter,Benefit KPI,HR (Dept/OCHRO),Standardized method per metric definition,(Count of Compliant Transactions) / (Total Transactions Audited [8.3.1.2.3]) * 100,Monthly,Valid: Audit frequency.,Yes,Compliance,,,,,,,,,,,,,
MET-0026,First contact resolution rate,Percentage of HR inquiries resolved on first contact.,Percent,HigherIsBetter,Benefit KPI,HR (Dept/OCHRO),Standardized method per metric definition,(Count of Inquiries Resolved on First Contact [8.3.1.4.2]) / (Total Inquiries [8.3.1.4.1]) * 100,Monthly,Valid: Service desk metrics.,Yes,Service Delivery,,,,,,,,,,,,,
MET-0027,Grievance resolution time,Median time to resolve grievances.,Days,LowerIsBetter,Benefit KPI,HR (Dept/OCHRO),Standardized method per metric definition,Median(Date(Grievance Resolved [8.3.2.2.3]) - Date(Grievance Filed [8.3.2.2.1])),Monthly,Valid: Case management.,Yes,Labor Relations,,,,,,,,,,,,,
MET-0028,Union consultation frequency,Frequency of consultations with union representatives.,Number,HigherIsBetter,Benefit KPI,HR (Dept/OCHRO),Standardized method per metric definition,Count of Consultation Meetings [8.3.2.3.1],Quarterly,Valid: Meeting schedules.,Yes,Labor Relations,,,,,,,,,,,,,
MET-0030,Diversity representation rate,Percentage of workforce from designated groups.,Percent,HigherIsBetter,Benefit KPI,HR (Dept/OCHRO),Standardized method per metric definition,(Count of EE Group Members [8.3.8.4.1]) / (Total Workforce) * 100,Quarterly,Valid: Self-ID updates.,Yes,Diversity and Inclusion,,,,,,,,,,,,,
MET-0031,Payroll error rate,Percentage of payroll transactions with errors.,Percent,LowerIsBetter,Benefit KPI,HR (Dept/OCHRO),Standardized method per metric definition,(Count of Payroll Errors [8.3.6.3.3]) / (Total Pay Transactions [8.3.6.3.1]) * 100,Monthly,Valid: Payroll cycle.,Yes,Payroll,,,,,,,,,,,,,
MET-0032,Pay on time rate,Percentage of employees paid on time.,Percent,HigherIsBetter,Benefit KPI,HR (Dept/OCHRO),Standardized method per metric definition,(Count of On-Time Payments) / (Total Payments) * 100,Monthly,Valid: Payroll cycle.,Yes,Payroll,,,,,,,,,,,,,
MET-0033,Pay case resolution time,Median time to resolve pay-related cases.,Days,LowerIsBetter,Benefit KPI,HR (Dept/OCHRO),Standardized method per metric definition,Median(Date(Pay Case Closed) - Date(Pay Case Opened)),Monthly,Valid: Case management.,Yes,Payroll,,,,,,,,,,,,,
MET-0034,Benefits enrollment accuracy rate,Percentage of benefit enrollments without errors.,Percent,HigherIsBetter,Benefit KPI,HR (Dept/OCHRO),Standardized method per metric definition,(Count of Accurate Enrollments) / (Total Enrollments) * 100,Monthly,Valid: Enrollment cycles.,Yes,Benefits Administration,,,,,,,,,,,,,
MET-0035,Pension service timeliness,Timeliness of pension service delivery.,Days,LowerIsBetter,Benefit KPI,HR (Dept/OCHRO),Standardized method per metric definition,Median(Date(Pension Service Delivered) - Date(Service Requested)),Quarterly,Valid: Service standards.,Yes,Pension Administration,,,,,,,,,,,,,
MET-0036,Collective agreement compliance rate,Percentage of adherence to collective agreements.,Percent,HigherIsBetter,Benefit KPI,HR (Dept/OCHRO),Standardized method per metric definition,(Count of Compliant Actions) / (Total Actions Subject to CA) * 100,Monthly,Valid: Compliance monitoring.,Yes,Labor Relations,,,,,,,,,,,,,
MET-0038,Wellness program participation rate,Percent of employees participating in wellness programs.,Percent,HigherIsBetter,Benefit KPI,HR (Dept/OCHRO),Standardized method per metric definition,(Count of Unique Participants in Wellness Initiatives [8.3.8.1.3]) / (Total Workforce) * 100,Monthly,Valid: Can be tracked per event or monthly summary.,Yes,Accommodation and Wellbeing,,,,,,,,,,,,,
MET-0039,ADR case resolution time,Median days to resolve alternative dispute resolution cases.,Days,LowerIsBetter,Benefit KPI,HR (Dept/OCHRO),Standardized method per metric definition,Median(Date(Mediation/Resolution Concluded [8.3.8.2.1]) - Date(Issue Raised [8.3.8.2])),Monthly,Valid: Case duration tracking.,Yes,Conflict Support,,,,,,,,,,,,,
MET-0040,Psychological safety index,Composite score of psychological safety from survey.,Index,HigherIsBetter,Benefit KPI,HR (Dept/OCHRO),"Composite survey score (e.g., 0–100)",Composite Score of Psychological Safety Questions from PSES [8.3.8.1.2],Annual,Valid: Often part of annual PSES or pulse surveys.,Yes,Accommodation and Wellbeing,,,,,,,,,,,,,
MET-0136,Compliance rate with relevant laws,Measurement of regulatory compliance rate,Percent,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0137,Number of legal issues related to HR policies,Measure the number of legal issues,Number,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0138,Process consistency metrics,Assessment of HR process standardization,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0139,Strategic goal alignment metrics,Evaluation of strategic alignment of HR programs,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0140,Adaptability metrics,Assessment of HRM program responsiveness,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0141,Policy cycle time,Measure the time taken to review and update policies,Days,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0142,Employee trust index,Measure employee trust levels through surveys,Percent,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0143,Policy understanding score,Measure employee understanding of HR policies,Percent,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0144,Fairness perception score,Measure employee perception of fairness in policy application,Percent,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0145,Compliance audit score,Measure compliance through regular audits,Percent,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0146,Trust metrics,Assessment of employee trust in HR policies,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0147,Clarity metrics,Assessment of policy clarity and accessibility,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0148,Morale metrics,Assessment of employee morale related to HR policies,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0149,Fairness metrics,Assessment of fairness in policy application,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0150,Policy compliance rate,Measure the rate of policy compliance,Percent,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0151,Decision-making speed,Measure the time taken to make decisions based on policy interpretation,Days,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0152,Operational risk incidents,Measure the number of operational risk incidents related to policy misinterpretation,Number,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0153,Stakeholder satisfaction score,Measure stakeholder satisfaction with policy advice,Percent,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0154,Advisory response time,Measure the time taken to provide advice on HR policies,Days,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0155,Governance effectiveness score,Measure the effectiveness of HR governance,Percent,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0156,Delegation error rate,Measure the rate of errors in delegation,Percent,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0157,Operational efficiency score,Measure overall operational efficiency,Percent,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0158,Accountability index,Measure accountability levels within the organization,Index,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0159,Compliance metrics,Assessment of policy compliance levels,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0160,Decision confidence metrics,Assessment of confidence in decision-making,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0161,Risk metrics,Assessment of operational risks related to policy,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0162,Advisory quality metrics,Assessment of the quality of policy advice,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0163,Governance metrics,Assessment of HR governance strength,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0164,Delegation accuracy metrics,Assessment of accuracy in delegation processes,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0165,Efficiency metrics,Assessment of operational efficiency improvements,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0166,Accountability metrics,Assessment of accountability levels,Score,HigherIsBetter,Benefit KVI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
MET-0167,Control compliance rate,Measure the rate of compliance with identified controls,Percent,HigherIsBetter,Benefit KPI,HR,TBD,TBD,Monthly,TBD,Yes,TBD,Imported from HRBCM 2024-07-22,,,,,,,,,,,,
